"lambda"	"resv"
855	0.511011
856	0.510992
857	0.510998
858	0.511018
859	0.510993
860	0.510998
861	0.511007
862	0.510999
863	0.51101
864	0.511011
865	0.510993
866	0.510994
867	0.511009
868	0.51103
869	0.511061
870	0.511065
871	0.511041
872	0.511048
873	0.511069
874	0.511055
875	0.511054
876	0.511043
877	0.511031
878	0.511024
879	0.511022
880	0.510983
881	0.510969
882	0.510967
883	0.510946
884	0.510922
885	0.510921
886	0.510919
887	0.510899
888	0.51087
889	0.510859
890	0.510848
891	0.510804
892	0.510785
893	0.510785
894	0.510788
895	0.510767
896	0.510717
897	0.510708
898	0.510699
899	0.510656
900	0.510636
901	0.510619
902	0.510576
903	0.510544
904	0.510547
905	0.510547
906	0.510518
907	0.510454
908	0.510421
909	0.510413
910	0.510399
911	0.510355
912	0.510267
913	0.510206
914	0.510182
915	0.51016
916	0.510076
917	0.50991
918	0.509805
919	0.50975
920	0.509702
921	0.509543
922	0.50927
923	0.509083
924	0.508966
925	0.508789
926	0.50862
927	0.508493
928	0.508204
929	0.507704
930	0.507382
931	0.507171
932	0.506884
933	0.506599
934	0.506373
935	0.506036
936	0.505447
937	0.504954
938	0.504624
939	0.504362
940	0.50381
941	0.502882
942	0.502343
943	0.501997
944	0.501499
945	0.500871
946	0.50025
947	0.49975
948	0.499293
949	0.498303
950	0.496573
951	0.495474
952	0.494739
953	0.49373
954	0.49261
955	0.491611
956	0.490722
957	0.489888
958	0.489183
959	0.488649
960	0.487973
961	0.487059
962	0.486623
963	0.486505
964	0.486329
965	0.486114
966	0.485947
967	0.485825
968	0.485754
969	0.485692
970	0.485628
971	0.485569
972	0.485507
973	0.485437
974	0.485327
975	0.485316
976	0.485354
977	0.485389
978	0.485456
979	0.485563
980	0.485709
981	0.485832
982	0.485966
983	0.486109
984	0.486291
985	0.48648
986	0.486711
987	0.486944
988	0.4872
989	0.487422
990	0.487684
991	0.488025
992	0.488354
993	0.488607
994	0.488858
995	0.489176
996	0.48952
997	0.489858
998	0.490169
999	0.49049
1000	0.490823
1001	0.491189
1002	0.491548
1003	0.491856
1004	0.492174
1005	0.492523
1006	0.49288
1007	0.493262
1008	0.493642
1009	0.494019
1010	0.49441
1011	0.4948
1012	0.495186
1013	0.495534
1014	0.495876
1015	0.496232
1016	0.496587
1017	0.496924
1018	0.49729
1019	0.497724
1020	0.498158
1021	0.498568
1022	0.498953
1023	0.499345
1024	0.499737
1025	0.500098
1026	0.500447
1027	0.500817
1028	0.501216
1029	0.501637
1030	0.502002
1031	0.502243
1032	0.502427
1033	0.502656
1034	0.50299
1035	0.50335
1036	0.503665
1037	0.503942
1038	0.504245
1039	0.504541
1040	0.504799
1041	0.505051
1042	0.505322
1043	0.505561
1044	0.505748
1045	0.505908
1046	0.506101
1047	0.506367
1048	0.506629
1049	0.506829
1050	0.506997
1051	0.507171
1052	0.507358
1053	0.507552
1054	0.507727
1055	0.507848
1056	0.50795
1057	0.508032
1058	0.508126
1059	0.508241
1060	0.50839
1061	0.508544
1062	0.508653
1063	0.50873
1064	0.508792
1065	0.508867
1066	0.508942
1067	0.509024
1068	0.509102
1069	0.509144
1070	0.509179
1071	0.509194
1072	0.509223
1073	0.509245
1074	0.50924
1075	0.509216
1076	0.509144
1077	0.5091
1078	0.509104
1079	0.509113
1080	0.509102
1081	0.50903
1082	0.508926
1083	0.508797
1084	0.508679
1085	0.508595
1086	0.508531
1087	0.50846
1088	0.508364
1089	0.508227
1090	0.508063
1091	0.507913
1092	0.507823
1093	0.507761
1094	0.507664
1095	0.507514
1096	0.507278
1097	0.506983
1098	0.506724
1099	0.506582
1100	0.506492
1101	0.506343
1102	0.506102
1103	0.505865
1104	0.505703
1105	0.505575
1106	0.50542
1107	0.505154
1108	0.504911
1109	0.504738
1110	0.504616
1111	0.504437
1112	0.504153
1113	0.503937
1114	0.503907
1115	0.503962
1116	0.503906
1117	0.503642
1118	0.503323
1119	0.50308
1120	0.502856
1121	0.502541
1122	0.502086
1123	0.501651
1124	0.501364
1125	0.501078
1126	0.500575
1127	0.499742
1128	0.498864
1129	0.498196
1130	0.497529
1131	0.496576
1132	0.495116
1133	0.49348
1134	0.491997
1135	0.490666
1136	0.489409
1137	0.488105
1138	0.486514
1139	0.484332
1140	0.481529
1141	0.478837
1142	0.476888
1143	0.475233
1144	0.473131
1145	0.470208
1146	0.467299
1147	0.465234
1148	0.46379
1149	0.462531
1150	0.461085
1151	0.459455
1152	0.457745
1153	0.456106
1154	0.454732
1155	0.453775
1156	0.453169
1157	0.452722
1158	0.452225
1159	0.451729
1160	0.451235
1161	0.45071
1162	0.450282
1163	0.450116
1164	0.450039
1165	0.450013
1166	0.449873
1167	0.449733
1168	0.449643
1169	0.449603
1170	0.449563
1171	0.449283
1172	0.448804
1173	0.448372
1174	0.448292
1175	0.44841
1176	0.448592
1177	0.448571
1178	0.44845
1179	0.448334
1180	0.448213
1181	0.448138
1182	0.448008
1183	0.447844
1184	0.447666
1185	0.447492
1186	0.447412
1187	0.447328
1188	0.447249
1189	0.44712
1190	0.447041
1191	0.446899
1192	0.44681
1193	0.446673
1194	0.446585
1195	0.446448
1196	0.44636
1197	0.446325
1198	0.446336
1199	0.446542
1200	0.446896
1201	0.447211
1202	0.447136
1203	0.446958
1204	0.446835
1205	0.446908
1206	0.44713
1207	0.447342
1208	0.447366
1209	0.447292
1210	0.447263
1211	0.447391
1212	0.447559
1213	0.447633
1214	0.44751
1215	0.447347
1216	0.447381
1217	0.447572
1218	0.447873
1219	0.44811
1220	0.448054
1221	0.447891
1222	0.447773
1223	0.447714
1224	0.447753
1225	0.447792
1226	0.447634
1227	0.447472
1228	0.447314
1229	0.447255
1230	0.44725
1231	0.447289
1232	0.447235
1233	0.447191
1234	0.447186
1235	0.447225
1236	0.44718
1237	0.447082
1238	0.446889
1239	0.446643
1240	0.446496
1241	0.446358
1242	0.446309
1243	0.446362
1244	0.446269
1245	0.446273
1246	0.446122
1247	0.446063
1248	0.445917
1249	0.44581
1250	0.445708
1251	0.445694
1252	0.445587
1253	0.445535
1254	0.445331
1255	0.445069
1256	0.444783
1257	0.44454
1258	0.444346
1259	0.444157
1260	0.444108
1261	0.444104
1262	0.444051
1263	0.443853
1264	0.443655
1265	0.443409
1266	0.443208
1267	0.443011
1268	0.442819
1269	0.442666
1270	0.442369
1271	0.442025
1272	0.441634
1273	0.441152
1274	0.440668
1275	0.440232
1276	0.439891
1277	0.439603
1278	0.439353
1279	0.439014
1280	0.438577
1281	0.438056
1282	0.437533
1283	0.436932
1284	0.436411
1285	0.435933
1286	0.435508
1287	0.435217
1288	0.434834
1289	0.434407
1290	0.43398
1291	0.433454
1292	0.432934
1293	0.43241
1294	0.431802
1295	0.431192
1296	0.430481
1297	0.429772
1298	0.429115
1299	0.428545
1300	0.428377
1301	0.427212
1302	0.426877
1303	0.426407
1304	0.425727
1305	0.425237
1306	0.424043
1307	0.423397
1308	0.422486
1309	0.421627
1310	0.420892
1311	0.42015
1312	0.419137
1313	0.417804
1314	0.416736
1315	0.415458
1316	0.414379
1317	0.413203
1318	0.411849
1319	0.41052
1320	0.408594
1321	0.407292
1322	0.405723
1323	0.40423
1324	0.402997
1325	0.402356
1326	0.40096
1327	0.398783
1328	0.396652
1329	0.394663
1330	0.393528
1331	0.392391
1332	0.390994
1333	0.38928
1334	0.3868
1335	0.384396
1336	0.382352
1337	0.380243
1338	0.378403
1339	0.376997
1340	0.375929
1341	0.374447
1342	0.372546
1343	0.370996
1344	0.368845
1345	0.366262
1346	0.363567
1347	0.361192
1348	0.359029
1349	0.357527
1350	0.355398
1351	0.353831
1352	0.351804
1353	0.350057
1354	0.348212
1355	0.346748
1356	0.344895
1357	0.343523
1358	0.341898
1359	0.341553
1360	0.341466
1361	0.340652
1362	0.339002
1363	0.336963
1364	0.335453
1365	0.333882
1366	0.331676
1367	0.33041
1368	0.3282
1369	0.325723
1370	0.322977
1371	0.319384
1372	0.315515
1373	0.312299
1374	0.308159
1375	0.303415
1376	0.299583
1377	0.295095
1378	0.290822
1379	0.286247
1380	0.283063
1381	0.277564
1382	0.271861
1383	0.265284
1384	0.259926
1385	0.252637
1386	0.2455
1387	0.238647
1388	0.231265
1389	0.225828
1390	0.218678
1391	0.212355
1392	0.206002
1393	0.200129
1394	0.193573
1395	0.189061
1396	0.183701
1397	0.177773
1398	0.172652
1399	0.167735
1400	0.163113
1401	0.158735
1402	0.154148
1403	0.150309
1404	0.146869
1405	0.144081
1406	0.140796
1407	0.137802
1408	0.134971
1409	0.132044
1410	0.129423
1411	0.127169
1412	0.124977
1413	0.123038
1414	0.121156
1415	0.11934
1416	0.117674
1417	0.11614
1418	0.1146
1419	0.113288
1420	0.112051
1421	0.110833
1422	0.109668
1423	0.108578
1424	0.107579
1425	0.106408
1426	0.105519
1427	0.104714
1428	0.103998
1429	0.103311
1430	0.102598
1431	0.102022
1432	0.10137
1433	0.100942
1434	0.100361
1435	0.09989
1436	0.099482
1437	0.099066
1438	0.098683
1439	0.098386
1440	0.098101
1441	0.097822
1442	0.097615
1443	0.097485
1444	0.097349
